,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
69,Subject-BD4,993820,5,1,4,993816,5.03109214948381,1.006222479815177
70,Subject-BD5,3582234,3,2,1,3582233,0.8374662291743085,0.5583109753050681
71,Subject-BD5g,501835,2,2,0,501835,3.9853736785995397,3.9853736785995397
72,Subject-BD5h,1967787,22,3,19,1967768,11.180071826879637,1.5245699696305663
73,Subject-BD6h,828336,0,0,0,828336,0.0,0.0
74,Subject-BD8,528026,5,1,4,528022,9.469230681822486,1.893860483085932
75,Subject-CAP301,1422159,0,0,0,1422159,0.0,0.0
76,Subject-CAP312,1284879,0,0,0,1284879,0.0,0.0
77,Subject-CAP322,1476844,0,0,0,1476844,0.0,0.0
78,Subject-CAP335,734921,0,0,0,734921,0.0,0.0
79,Subject-CAP351,1141581,0,0,0,1141581,0.0,0.0
80,Subject-CB1,410636,1,1,0,410636,2.435246787909487,2.435246787909487
81,Subject-CB2,1364658,0,0,0,1364658,0.0,0.0
82,Subject-CORD1,1135699,1,1,0,1135699,0.8805149956106327,0.8805149956106327
83,Subject-CORD2,1358084,2,1,1,1358083,1.4726629575195644,0.736332020944228
84,Subject-CORD3,1441611,5,2,3,1441608,3.4683420145933956,1.3873396928984856
85,Subject-D103,65645990,548,15,533,65645457,8.347806164550189,0.22850019918362363
86,Subject-D181,6271025,28,8,20,6271005,4.464979807926136,1.2757125851438487
87,Subject-H1,176809,0,0,0,176809,0.0,0.0
88,Subject-HD19,12040,0,0,0,12040,0.0,0.0
89,Subject-HD29,14212,0,0,0,14212,0.0,0.0
90,Subject-HD30,14431,0,0,0,14431,0.0,0.0
91,Subject-HD38,12927,0,0,0,12927,0.0,0.0
92,Subject-HIP1,218062505,746,95,651,218061854,3.4210374681332767,0.4356562060597724
93,Subject-HIP2,174080204,2124,414,1710,174078494,12.201272466339711,2.3782374863606073
94,Subject-HIP3,156488073,643,83,560,156487513,4.108939343894918,0.5303937573600521
95,Subject-Healthy-10,81939,0,0,0,81939,0.0,0.0
96,Subject-Healthy-3,6143,0,0,0,6143,0.0,0.0
97,Subject-Healthy-6,4769,0,0,0,4769,0.0,0.0
98,Subject-Healthy-8,6343,0,0,0,6343,0.0,0.0
99,Subject-IGG2,346200,0,0,0,346200,0.0,0.0
100,Subject-PEM1,24677,0,0,0,24677,0.0,0.0
101,Subject-TW01A,126368,0,0,0,126368,0.0,0.0
102,Subject-TW01B,87491,0,0,0,87491,0.0,0.0
103,Subject-TW02A,192084,0,0,0,192084,0.0,0.0
104,Subject-TW02B,201854,0,0,0,201854,0.0,0.0
105,Subject-TW03B,178233,0,0,0,178233,0.0,0.0
106,Subject-TW04A,270086,1,1,0,270086,3.7025243811230495,3.7025243811230495
107,Subject-TW04B,435002,2,1,1,435001,4.597680010666617,2.298845290010828
108,Subject-TW05A,263881,0,0,0,263881,0.0,0.0
